Year,Company,Category,Ethnicity,Gender,Count
2015,Amazon,Executive/Sr. Officials/Mgrs,Hispanic,Male,1
2015,Amazon,Executive/Sr. Officials/Mgrs,Hispanic,Female,0
2015,Amazon,Executive/Sr. Officials/Mgrs,White,Male,82
2015,Amazon,Executive/Sr. Officials/Mgrs,Black,Male,0
2015,Amazon,Executive/Sr. Officials/Mgrs,Pacific Islander,Male,0
2015,Amazon,Executive/Sr. Officials/Mgrs,Asian,Male,4
2015,Amazon,Executive/Sr. Officials/Mgrs,American Indian,Male,0
2015,Amazon,Executive/Sr. Officials/Mgrs,Two or More Races,Male,0
2015,Amazon,Executive/Sr. Officials/Mgrs,White,Female,17
2015,Amazon,Executive/Sr. Officials/Mgrs,Black,Female,0
2015,Amazon,Executive/Sr. Officials/Mgrs,Pacific Islander,Female,0
2015,Amazon,Executive/Sr. Officials/Mgrs,Asian,Female,2
2015,Amazon,Executive/Sr. Officials/Mgrs,American Indian,Female,0
2015,Amazon,Executive/Sr. Officials/Mgrs,Two or More Races,Female,1
2015,Amazon,First/Mid Managers,Hispanic,Male,328
2015,Amazon,First/Mid Managers,Hispanic,Female,86
2015,Amazon,First/Mid Managers,White,Male,5082
2015,Amazon,First/Mid Managers,Black,Male,308
2015,Amazon,First/Mid Managers,Pacific Islander,Male,6
2015,Amazon,First/Mid Managers,Asian,Male,1522
2015,Amazon,First/Mid Managers,American Indian,Male,22
2015,Amazon,First/Mid Managers,Two or More Races,Male,168
2015,Amazon,First/Mid Managers,White,Female,1410
2015,Amazon,First/Mid Managers,Black,Female,125
2015,Amazon,First/Mid Managers,Pacific Islander,Female,3
2015,Amazon,First/Mid Managers,Asian,Female,328
2015,Amazon,First/Mid Managers,American Indian,Female,1
2015,Amazon,First/Mid Managers,Two or More Races,Female,85
2015,Amazon,Professionals,Hispanic,Male,596
2015,Amazon,Professionals,Hispanic,Female,170
2015,Amazon,Professionals,White,Male,9579
2015,Amazon,Professionals,Black,Male,342
2015,Amazon,Professionals,Pacific Islander,Male,30
2015,Amazon,Professionals,Asian,Male,6522
2015,Amazon,Professionals,American Indian,Male,28
2015,Amazon,Professionals,Two or More Races,Male,387
2015,Amazon,Professionals,White,Female,3191
2015,Amazon,Professionals,Black,Female,198
2015,Amazon,Professionals,Pacific Islander,Female,13
2015,Amazon,Professionals,Asian,Female,2217
2015,Amazon,Professionals,American Indian,Female,18
2015,Amazon,Professionals,Two or More Races,Female,189
2015,Amazon,Technicians,Hispanic,Male,92
2015,Amazon,Technicians,Hispanic,Female,9
2015,Amazon,Technicians,White,Male,839
2015,Amazon,Technicians,Black,Male,102
2015,Amazon,Technicians,Pacific Islander,Male,8
2015,Amazon,Technicians,Asian,Male,120
2015,Amazon,Technicians,American Indian,Male,7
2015,Amazon,Technicians,Two or More Races,Male,49
2015,Amazon,Technicians,White,Female,108
2015,Amazon,Technicians,Black,Female,10
2015,Amazon,Technicians,Pacific Islander,Female,0
2015,Amazon,Technicians,Asian,Female,18
