Year,Company,Category,Ethnicity,Gender,Count
2014,Facebook,Executive/Sr. Officials/Mgrs,Hispanic,Male,7
2014,Facebook,Executive/Sr. Officials/Mgrs,Hispanic,Female,3
2014,Facebook,Executive/Sr. Officials/Mgrs,White,Male,136
2014,Facebook,Executive/Sr. Officials/Mgrs,Black,Male,2
2014,Facebook,Executive/Sr. Officials/Mgrs,Pacific Islander,Male,1
2014,Facebook,Executive/Sr. Officials/Mgrs,Asian,Male,35
2014,Facebook,Executive/Sr. Officials/Mgrs,American Indian,Male,0
2014,Facebook,Executive/Sr. Officials/Mgrs,Two or More Races,Male,2
2014,Facebook,Executive/Sr. Officials/Mgrs,White,Female,42
2014,Facebook,Executive/Sr. Officials/Mgrs,Black,Female,1
2014,Facebook,Executive/Sr. Officials/Mgrs,Pacific Islander,Female,0
2014,Facebook,Executive/Sr. Officials/Mgrs,Asian,Female,8
2014,Facebook,Executive/Sr. Officials/Mgrs,American Indian,Female,0
2014,Facebook,Executive/Sr. Officials/Mgrs,Two or More Races,Female,1
2014,Facebook,First/Mid Managers,Hispanic,Male,13
2014,Facebook,First/Mid Managers,Hispanic,Female,11
2014,Facebook,First/Mid Managers,White,Male,361
2014,Facebook,First/Mid Managers,Black,Male,10
2014,Facebook,First/Mid Managers,Pacific Islander,Male,0
2014,Facebook,First/Mid Managers,Asian,Male,160
2014,Facebook,First/Mid Managers,American Indian,Male,0
2014,Facebook,First/Mid Managers,Two or More Races,Male,16
2014,Facebook,First/Mid Managers,White,Female,143
2014,Facebook,First/Mid Managers,Black,Female,5
2014,Facebook,First/Mid Managers,Pacific Islander,Female,0
2014,Facebook,First/Mid Managers,Asian,Female,77
2014,Facebook,First/Mid Managers,American Indian,Female,0
2014,Facebook,First/Mid Managers,Two or More Races,Female,9
2014,Facebook,Professionals,Hispanic,Male,95
2014,Facebook,Professionals,Hispanic,Female,38
2014,Facebook,Professionals,White,Male,1546
2014,Facebook,Professionals,Black,Male,26
2014,Facebook,Professionals,Pacific Islander,Male,5
2014,Facebook,Professionals,Asian,Male,1121
2014,Facebook,Professionals,American Indian,Male,3
2014,Facebook,Professionals,Two or More Races,Male,86
2014,Facebook,Professionals,White,Female,479
2014,Facebook,Professionals,Black,Female,15
2014,Facebook,Professionals,Pacific Islander,Female,3
2014,Facebook,Professionals,Asian,Female,394
2014,Facebook,Professionals,American Indian,Female,1
2014,Facebook,Professionals,Two or More Races,Female,36
2014,Facebook,Technicians,Hispanic,Male,4
2014,Facebook,Technicians,Hispanic,Female,0
2014,Facebook,Technicians,White,Male,41
2014,Facebook,Technicians,Black,Male,2
2014,Facebook,Technicians,Pacific Islander,Male,1
2014,Facebook,Technicians,Asian,Male,11
2014,Facebook,Technicians,American Indian,Male,1
2014,Facebook,Technicians,Two or More Races,Male,0
2014,Facebook,Technicians,White,Female,5
2014,Facebook,Technicians,Black,Female,0
2014,Facebook,Technicians,Pacific Islander,Female,0
2014,Facebook,Technicians,Asian,Female,1
2014,Facebook,Technicians,American Indian,Female,0
2014,Facebook,Technicians,Two or More Races,Female,0
2014,Facebook,Sales Workers,Hispanic,Male,10
2014,Facebook,Sales Workers,Hispanic,Female,14
2014,Facebook,Sales Workers,White,Male,106
2014,Facebook,Sales Workers,Black,Male,6
2014,Facebook,Sales Workers,Pacific Islander,Male,0
2014,Facebook,Sales Workers,Asian,Male,20
2014,Facebook,Sales Workers,American Indian,Male,0
2014,Facebook,Sales Workers,Two or More Races,Male,2
2014,Facebook,Sales Workers,White,Female,121
2014,Facebook,Sales Workers,Black,Female,2
2014,Facebook,Sales Workers,Pacific Islander,Female,1
2014,Facebook,Sales Workers,Asian,Female,20
2014,Facebook,Sales Workers,American Indian,Female,0
2014,Facebook,Sales Workers,Two or More Races,Female,5
2014,Facebook,Admin Support,Hispanic,Male,0
2014,Facebook,Admin Support,Hispanic,Female,18
2014,Facebook,Admin Support,White,Male,4
2014,Facebook,Admin Support,Black,Male,0
2014,Facebook,Admin Support,Pacific Islander,Male,1
2014,Facebook,Admin Support,Asian,Male,1
2014,Facebook,Admin Support,American Indian,Male,0
2014,Facebook,Admin Support,Two or More Races,Male,0
2014,Facebook,Admin Support,White,Female,87
2014,Facebook,Admin Support,Black,Female,6
2014,Facebook,Admin Support,Pacific Islander,Female,1
2014,Facebook,Admin Support,Asian,Female,19
2014,Facebook,Admin Support,American Indian,Female,0
2014,Facebook,Admin Support,Two or More Races,Female,6
2014,Facebook,Craft Workers,Hispanic,Male,0
2014,Facebook,Craft Workers,Hispanic,Female,0
2014,Facebook,Craft Workers,White,Male,43
2014,Facebook,Craft Workers,Black,Male,5
2014,Facebook,Craft Workers,Pacific Islander,Male,0
2014,Facebook,Craft Workers,Asian,Male,1
2014,Facebook,Craft Workers,American Indian,Male,0
2014,Facebook,Craft Workers,Two or More Races,Male,0
2014,Facebook,Craft Workers,White,Female,4
2014,Facebook,Craft Workers,Black,Female,0
2014,Facebook,Craft Workers,Pacific Islander,Female,0
2014,Facebook,Craft Workers,Asian,Female,0
