Year,Company,Category,Ethnicity,Gender,Count
2013,Google,Executive/Sr. Officials/Mgrs,Hispanic,Male,0
2013,Google,Executive/Sr. Officials/Mgrs,Hispanic,Female,0
2013,Google,Executive/Sr. Officials/Mgrs,White,Male,21
2013,Google,Executive/Sr. Officials/Mgrs,Black,Male,1
2013,Google,Executive/Sr. Officials/Mgrs,Pacific Islander,Male,0
2013,Google,Executive/Sr. Officials/Mgrs,Asian,Male,10
2013,Google,Executive/Sr. Officials/Mgrs,American Indian,Male,0
2013,Google,Executive/Sr. Officials/Mgrs,Two or More Races,Male,1
2013,Google,Executive/Sr. Officials/Mgrs,White,Female,3
2013,Google,Executive/Sr. Officials/Mgrs,Black,Female,0
2013,Google,Executive/Sr. Officials/Mgrs,Pacific Islander,Female,0
2013,Google,Executive/Sr. Officials/Mgrs,Asian,Female,0
2013,Google,Executive/Sr. Officials/Mgrs,American Indian,Female,0
2013,Google,Executive/Sr. Officials/Mgrs,Two or More Races,Female,0
2013,Google,First/Mid Managers,Hispanic,Male,53
2013,Google,First/Mid Managers,Hispanic,Female,27
2013,Google,First/Mid Managers,White,Male,1791
2013,Google,First/Mid Managers,Black,Male,28
2013,Google,First/Mid Managers,Pacific Islander,Male,3
2013,Google,First/Mid Managers,Asian,Male,632
2013,Google,First/Mid Managers,American Indian,Male,7
2013,Google,First/Mid Managers,Two or More Races,Male,53
2013,Google,First/Mid Managers,White,Female,744
2013,Google,First/Mid Managers,Black,Female,21
2013,Google,First/Mid Managers,Pacific Islander,Female,5
2013,Google,First/Mid Managers,Asian,Female,332
2013,Google,First/Mid Managers,American Indian,Female,2
2013,Google,First/Mid Managers,Two or More Races,Female,15
2013,Google,Professionals,Hispanic,Male,369
2013,Google,Professionals,Hispanic,Female,141
2013,Google,Professionals,White,Male,8932
2013,Google,Professionals,Black,Male,174
2013,Google,Professionals,Pacific Islander,Male,29
2013,Google,Professionals,Asian,Male,4469
2013,Google,Professionals,American Indian,Male,18
2013,Google,Professionals,Two or More Races,Male,352
2013,Google,Professionals,White,Female,2205
2013,Google,Professionals,Black,Female,115
2013,Google,Professionals,Pacific Islander,Female,18
2013,Google,Professionals,Asian,Female,1737
2013,Google,Professionals,American Indian,Female,8
2013,Google,Professionals,Two or More Races,Female,150
2013,Google,Technicians,Hispanic,Male,16
2013,Google,Technicians,Hispanic,Female,1
2013,Google,Technicians,White,Male,287
2013,Google,Technicians,Black,Male,14
2013,Google,Technicians,Pacific Islander,Male,0
2013,Google,Technicians,Asian,Male,31
2013,Google,Technicians,American Indian,Male,4
2013,Google,Technicians,Two or More Races,Male,7
2013,Google,Technicians,White,Female,25
2013,Google,Technicians,Black,Female,4
2013,Google,Technicians,Pacific Islander,Female,0
2013,Google,Technicians,Asian,Female,10
2013,Google,Technicians,American Indian,Female,1
2013,Google,Technicians,Two or More Races,Female,0
2013,Google,Sales Workers,Hispanic,Male,65
2013,Google,Sales Workers,Hispanic,Female,62
2013,Google,Sales Workers,White,Male,1005
2013,Google,Sales Workers,Black,Male,36
2013,Google,Sales Workers,Pacific Islander,Male,1
2013,Google,Sales Workers,Asian,Male,251
2013,Google,Sales Workers,American Indian,Male,3
2013,Google,Sales Workers,Two or More Races,Male,49
2013,Google,Sales Workers,White,Female,1050
2013,Google,Sales Workers,Black,Female,43
2013,Google,Sales Workers,Pacific Islander,Female,1
2013,Google,Sales Workers,Asian,Female,275
2013,Google,Sales Workers,American Indian,Female,4
2013,Google,Sales Workers,Two or More Races,Female,62
2013,Google,Admin Support,Hispanic,Male,24
2013,Google,Admin Support,Hispanic,Female,39
2013,Google,Admin Support,White,Male,106
2013,Google,Admin Support,Black,Male,13
2013,Google,Admin Support,Pacific Islander,Male,3
2013,Google,Admin Support,Asian,Male,34
2013,Google,Admin Support,American Indian,Male,1
2013,Google,Admin Support,Two or More Races,Male,15
2013,Google,Admin Support,White,Female,299
2013,Google,Admin Support,Black,Female,31
2013,Google,Admin Support,Pacific Islander,Female,3
2013,Google,Admin Support,Asian,Female,106
2013,Google,Admin Support,American Indian,Female,0
2013,Google,Admin Support,Two or More Races,Female,45
2013,Google,Craft Workers,Hispanic,Male,0
2013,Google,Craft Workers,Hispanic,Female,0
2013,Google,Craft Workers,White,Male,0
2013,Google,Craft Workers,Black,Male,0
2013,Google,Craft Workers,Pacific Islander,Male,0
2013,Google,Craft Workers,Asian,Male,0
2013,Google,Craft Workers,American Indian,Male,0
2013,Google,Craft Workers,Two or More Races,Male,0
2013,Google,Craft Workers,White,Female,0
2013,Google,Craft Workers,Black,Female,0
2013,Google,Craft Workers,Pacific Islander,Female,0
2013,Google,Craft Workers,Asian,Female,0
2013,Google,Craft Workers,American Indian,Female,0
2013,Google,Craft Workers,Two or More Races,Female,0
2013,Google,Operatives,Hispanic,Male,0
2013,Google,Operatives,Hispanic,Female,0
2013,Google,Operatives,White,Male,0
2013,Google,Operatives,Black,Male,0
2013,Google,Operatives,Pacific Islander,Male,0
2013,Google,Operatives,Asian,Male,0
2013,Google,Operatives,American Indian,Male,0
2013,Google,Operatives,Two or More Races,Male,0
2013,Google,Operatives,White,Female,0
2013,Google,Operatives,Black,Female,0
2013,Google,Operatives,Pacific Islander,Female,0
2013,Google,Operatives,Asian,Female,0
2013,Google,Operatives,American Indian,Female,0
2013,Google,Operatives,Two or More Races,Female,0
2013,Google,Laborers & Helpers,Hispanic,Male,0
2013,Google,Laborers & Helpers,Hispanic,Female,0
2013,Google,Laborers & Helpers,White,Male,0
2013,Google,Laborers & Helpers,Black,Male,0
2013,Google,Laborers & Helpers,Pacific Islander,Male,0
2013,Google,Laborers & Helpers,Asian,Male,0
2013,Google,Laborers & Helpers,American Indian,Male,0
2013,Google,Laborers & Helpers,Two or More Races,Male,0
2013,Google,Laborers & Helpers,White,Female,0
2013,Google,Laborers & Helpers,Black,Female,0
2013,Google,Laborers & Helpers,Pacific Islander,Female,0
2013,Google,Laborers & Helpers,Asian,Female,0
2013,Google,Laborers & Helpers,American Indian,Female,0
2013,Google,Laborers & Helpers,Two or More Races,Female,0
2013,Google,Service Workers,Hispanic,Male,1
2013,Google,Service Workers,Hispanic,Female,0
2013,Google,Service Workers,White,Male,18
2013,Google,Service Workers,Black,Male,2
2013,Google,Service Workers,Pacific Islander,Male,0
2013,Google,Service Workers,Asian,Male,1
2013,Google,Service Workers,American Indian,Male,0
2013,Google,Service Workers,Two or More Races,Male,0
2013,Google,Service Workers,White,Female,38
2013,Google,Service Workers,Black,Female,1
2013,Google,Service Workers,Pacific Islander,Female,1
2013,Google,Service Workers,Asian,Female,3
2013,Google,Service Workers,American Indian,Female,0
2013,Google,Service Workers,Two or More Races,Female,2
