Year,Company,Category,Ethnicity,Gender,Count
2014,Intel,Executive/Sr. Officials/Mgrs,Hispanic,Male,5
2014,Intel,Executive/Sr. Officials/Mgrs,Hispanic,Female,1
2014,Intel,Executive/Sr. Officials/Mgrs,White,Male,122
2014,Intel,Executive/Sr. Officials/Mgrs,Black,Male,5
2014,Intel,Executive/Sr. Officials/Mgrs,Pacific Islander,Male,1
2014,Intel,Executive/Sr. Officials/Mgrs,Asian,Male,25
2014,Intel,Executive/Sr. Officials/Mgrs,American Indian,Male,1
2014,Intel,Executive/Sr. Officials/Mgrs,Two or More Races,Male,0
2014,Intel,Executive/Sr. Officials/Mgrs,White,Female,22
2014,Intel,Executive/Sr. Officials/Mgrs,Black,Female,1
2014,Intel,Executive/Sr. Officials/Mgrs,Pacific Islander,Female,0
2014,Intel,Executive/Sr. Officials/Mgrs,Asian,Female,8
2014,Intel,Executive/Sr. Officials/Mgrs,American Indian,Female,0
2014,Intel,Executive/Sr. Officials/Mgrs,Two or More Races,Female,0
2014,Intel,First/Mid Managers,Hispanic,Male,338
2014,Intel,First/Mid Managers,Hispanic,Female,86
2014,Intel,First/Mid Managers,White,Male,3654
2014,Intel,First/Mid Managers,Black,Male,127
2014,Intel,First/Mid Managers,Pacific Islander,Male,1
2014,Intel,First/Mid Managers,Asian,Male,1259
2014,Intel,First/Mid Managers,American Indian,Male,15
2014,Intel,First/Mid Managers,Two or More Races,Male,38
2014,Intel,First/Mid Managers,White,Female,998
2014,Intel,First/Mid Managers,Black,Female,36
2014,Intel,First/Mid Managers,Pacific Islander,Female,4
2014,Intel,First/Mid Managers,Asian,Female,335
2014,Intel,First/Mid Managers,American Indian,Female,4
2014,Intel,First/Mid Managers,Two or More Races,Female,8
2014,Intel,Professionals,Hispanic,Male,1588
2014,Intel,Professionals,Hispanic,Female,569
2014,Intel,Professionals,White,Male,13717
2014,Intel,Professionals,Black,Male,715
2014,Intel,Professionals,Pacific Islander,Male,23
2014,Intel,Professionals,Asian,Male,9457
2014,Intel,Professionals,American Indian,Male,79
2014,Intel,Professionals,Two or More Races,Male,238
2014,Intel,Professionals,White,Female,3591
2014,Intel,Professionals,Black,Female,284
