Year,Company,Category,Ethnicity,Gender,Count
2015,Microsoft,Executive/Sr. Officials/Mgrs,Hispanic,Male,5
2015,Microsoft,Executive/Sr. Officials/Mgrs,Hispanic,Female,1
2015,Microsoft,Executive/Sr. Officials/Mgrs,White,Male,122
2015,Microsoft,Executive/Sr. Officials/Mgrs,Black,Male,5
2015,Microsoft,Executive/Sr. Officials/Mgrs,Pacific Islander,Male,1
2015,Microsoft,Executive/Sr. Officials/Mgrs,Asian,Male,25
2015,Microsoft,Executive/Sr. Officials/Mgrs,American Indian,Male,1
2015,Microsoft,Executive/Sr. Officials/Mgrs,Two or More Races,Male,0
2015,Microsoft,Executive/Sr. Officials/Mgrs,White,Female,22
2015,Microsoft,Executive/Sr. Officials/Mgrs,Black,Female,1
2015,Microsoft,Executive/Sr. Officials/Mgrs,Pacific Islander,Female,0
2015,Microsoft,Executive/Sr. Officials/Mgrs,Asian,Female,8
2015,Microsoft,Executive/Sr. Officials/Mgrs,American Indian,Female,0
2015,Microsoft,Executive/Sr. Officials/Mgrs,Two or More Races,Female,0
2015,Microsoft,First/Mid Managers,Hispanic,Male,338
2015,Microsoft,First/Mid Managers,Hispanic,Female,86
2015,Microsoft,First/Mid Managers,White,Male,3654
2015,Microsoft,First/Mid Managers,Black,Male,127
2015,Microsoft,First/Mid Managers,Pacific Islander,Male,1
2015,Microsoft,First/Mid Managers,Asian,Male,1259
2015,Microsoft,First/Mid Managers,American Indian,Male,15
2015,Microsoft,First/Mid Managers,Two or More Races,Male,38
2015,Microsoft,First/Mid Managers,White,Female,998
2015,Microsoft,First/Mid Managers,Black,Female,36
2015,Microsoft,First/Mid Managers,Pacific Islander,Female,4
2015,Microsoft,First/Mid Managers,Asian,Female,335
2015,Microsoft,First/Mid Managers,American Indian,Female,4
2015,Microsoft,First/Mid Managers,Two or More Races,Female,8
2015,Microsoft,Professionals,Hispanic,Male,1588
2015,Microsoft,Professionals,Hispanic,Female,569
2015,Microsoft,Professionals,White,Male,13717
2015,Microsoft,Professionals,Black,Male,715
2015,Microsoft,Professionals,Pacific Islander,Male,23
2015,Microsoft,Professionals,Asian,Male,9457
2015,Microsoft,Professionals,American Indian,Male,79
2015,Microsoft,Professionals,Two or More Races,Male,238
2015,Microsoft,Professionals,White,Female,3591
2015,Microsoft,Professionals,Black,Female,284
2015,Microsoft,Professionals,Pacific Islander,Female,9
2015,Microsoft,Professionals,Asian,Female,3923
2015,Microsoft,Professionals,American Indian,Female,34
2015,Microsoft,Professionals,Two or More Races,Female,1141
2015,Microsoft,Technicians,Hispanic,Male,1214
2015,Microsoft,Technicians,Hispanic,Female,246
2015,Microsoft,Technicians,White,Male,4994
2015,Microsoft,Technicians,Black,Male,536
2015,Microsoft,Technicians,Pacific Islander,Male,24
2015,Microsoft,Technicians,Asian,Male,900
2015,Microsoft,Technicians,American Indian,Male,87
2015,Microsoft,Technicians,Two or More Races,Male,115
2015,Microsoft,Technicians,White,Female,689
2015,Microsoft,Technicians,Black,Female,69
2015,Microsoft,Technicians,Pacific Islander,Female,8
2015,Microsoft,Technicians,Asian,Female,320
2015,Microsoft,Technicians,American Indian,Female,28
2015,Microsoft,Technicians,Two or More Races,Female,15
2015,Microsoft,Sales Workers,Hispanic,Male,65
2015,Microsoft,Sales Workers,Hispanic,Female,28
2015,Microsoft,Sales Workers,White,Male,876
2015,Microsoft,Sales Workers,Black,Male,35
2015,Microsoft,Sales Workers,Pacific Islander,Male,3
2015,Microsoft,Sales Workers,Asian,Male,103
2015,Microsoft,Sales Workers,American Indian,Male,1
2015,Microsoft,Sales Workers,Two or More Races,Male,12
2015,Microsoft,Sales Workers,White,Female,244
2015,Microsoft,Sales Workers,Black,Female,13
2015,Microsoft,Sales Workers,Pacific Islander,Female,0
2015,Microsoft,Sales Workers,Asian,Female,48
2015,Microsoft,Sales Workers,American Indian,Female,3
